"__typename","action","amount","assetPriceUSD","id","reserve","timestamp","txHash","user"
"Repay","Repay","40000021628917297741","0.99992599","8163931:0:0xae2a2d30b7cbe20d0042996e20ab4b557489d89e7b4e525fc3bdacb44bae15a7:4:4","{""__typename"":""Reserve"",""decimals"":18,""symbol"":""DAI""}",1647710879,"0xae2a2d30b7cbe20d0042996e20ab4b557489d89e7b4e525fc3bdacb44bae15a7","{""__typename"":""User"",""id"":""0x0512412ae7ad5bfc59a7cd5d025d2f23d5e5f761""}"
"Repay","Repay","10000000","0.99993654","8167360:0:0xe1e6ea9828acdddb54469aaf91b67a698540be42dadae8e112cd46fdb5f0f313:6:6","{""__typename"":""Reserve"",""decimals"":6,""symbol"":""USDC""}",1647717328,"0xe1e6ea9828acdddb54469aaf91b67a698540be42dadae8e112cd46fdb5f0f313","{""__typename"":""User"",""id"":""0xd8bdd80bbc4d874702a1670e98d028847fa2c712""}"
"Repay","Repay","5000003373","1.00030677","8167702:0:0xebe7fdb920dd21cf08b9ed56878c4a6aafd4a0023f6234ea541f8032c98f11f3:6:6","{""__typename"":""Reserve"",""decimals"":6,""symbol"":""USDT""}",1647718144,"0xebe7fdb920dd21cf08b9ed56878c4a6aafd4a0023f6234ea541f8032c98f11f3","{""__typename"":""User"",""id"":""0x48b72465fed54964a9a0bb2fb95dbc89571604ec""}"
"Repay","Repay","24214685670","0.99993654","8169312:0:0xebb38be96b6d24968f0dcebf844b0edd5b9f612bb5494a49dc737c670da27d2b:6:6","{""__typename"":""Reserve"",""decimals"":6,""symbol"":""USDC""}",1647721550,"0xebb38be96b6d24968f0dcebf844b0edd5b9f612bb5494a49dc737c670da27d2b","{""__typename"":""User"",""id"":""0xfba206e73709f614e5a85aff27a98692d4f3c579""}"
"Repay","Repay","43307803548","0.99993654","8169904:0:0xd5053e8a29f5d6dc4ea07516df881012f7429bdc24925b31c1792f69bd99a17f:6:6","{""__typename"":""Reserve"",""decimals"":6,""symbol"":""USDC""}",1647722513,"0xd5053e8a29f5d6dc4ea07516df881012f7429bdc24925b31c1792f69bd99a17f","{""__typename"":""User"",""id"":""0x9e5a57470a2a136a3d4de39e1996e05944c4b1fb""}"
"Repay","Repay","10003763342","1.00030677","8176282:0:0x1d4bdc6d6ab607593cc52c2f27896bff6b9220b6a709397fe64377ffb690c036:6:6","{""__typename"":""Reserve"",""decimals"":6,""symbol"":""USDT""}",1647734248,"0x1d4bdc6d6ab607593cc52c2f27896bff6b9220b6a709397fe64377ffb690c036","{""__typename"":""User"",""id"":""0xd4fc048108ce622e48b5ed9ecdb807bef3ccffe9""}"
"Repay","Repay","134395308","0.9995914","8196465:0:0x090492599a4341f6811bbc9753398757290197d78d78bc94da0bec82958f50fb:6:6","{""__typename"":""Reserve"",""decimals"":6,""symbol"":""USDC""}",1647773647,"0x090492599a4341f6811bbc9753398757290197d78d78bc94da0bec82958f50fb","{""__typename"":""User"",""id"":""0x7b7736a2c07c4332ffad45a039d2117ae15e3f66""}"
"Repay","Repay","10000038","0.9995914","8197450:0:0xb8a6b6aa8545253947e338a6fc03890ad8775eb4ddb0aee16fcbcaabf00e5976:6:6","{""__typename"":""Reserve"",""decimals"":6,""symbol"":""USDC""}",1647775298,"0xb8a6b6aa8545253947e338a6fc03890ad8775eb4ddb0aee16fcbcaabf00e5976","{""__typename"":""User"",""id"":""0x94ac7b9bebd764538ebabefb24b3cff0e0d1acd7""}"
"Repay","Repay","25100014","0.9995914","8199450:0:0x53d57cc0db5e6f4c7cdf931c2b16b9d2b247d5ef3cfff91884b05cdedd9f38e6:6:6","{""__typename"":""Reserve"",""decimals"":6,""symbol"":""USDC""}",1647778051,"0x53d57cc0db5e6f4c7cdf931c2b16b9d2b247d5ef3cfff91884b05cdedd9f38e6","{""__typename"":""User"",""id"":""0x8746a797708b29aa0abcbc10f3437d84f8b81f47""}"
"Repay","Repay","15820169308601384409","2872.2983","8210480:0:0xc9ccf04a3b820e3610e0417561557dfa65b59673e92033982ffb08fa9f8ebadd:6:6","{""__typename"":""Reserve"",""decimals"":18,""symbol"":""WETH""}",1647793116,"0xc9ccf04a3b820e3610e0417561557dfa65b59673e92033982ffb08fa9f8ebadd","{""__typename"":""User"",""id"":""0x9e5a57470a2a136a3d4de39e1996e05944c4b1fb""}"
"Repay","Repay","17860719561","0.9995914","8215457:0:0xb7bb422bf9d28918f5a82fefbd0138015e85dc011a56cb9f18598ea72e12161c:6:6","{""__typename"":""Reserve"",""decimals"":6,""symbol"":""USDC""}",1647800767,"0xb7bb422bf9d28918f5a82fefbd0138015e85dc011a56cb9f18598ea72e12161c","{""__typename"":""User"",""id"":""0xfba206e73709f614e5a85aff27a98692d4f3c579""}"
"Repay","Repay","30004546502","0.9995914","8217069:0:0x7cf802cf05cf145303783879efd551480683bd8c3149301faa2966873b8e313b:6:6","{""__typename"":""Reserve"",""decimals"":6,""symbol"":""USDC""}",1647803516,"0x7cf802cf05cf145303783879efd551480683bd8c3149301faa2966873b8e313b","{""__typename"":""User"",""id"":""0x479c4a69b481449c4b92694eb32758cfc920735a""}"
"Repay","Repay","2000000","0.9995914","8220798:0:0xa63043dfdad6093ba8f4f268304a716fd920e2d13ea3b2c0df76960220663d9e:7:7","{""__typename"":""Reserve"",""decimals"":6,""symbol"":""USDC""}",1647809777,"0xa63043dfdad6093ba8f4f268304a716fd920e2d13ea3b2c0df76960220663d9e","{""__typename"":""User"",""id"":""0x0a71e650f70b35fca8b70e71e4441df8d44e01e9""}"
"Repay","Repay","4","0.9995914","8221180:0:0x1ca7e9cd39729cbf1f8652adf0b5e475e1ea6882674ae3592d90f95b4ba0770a:7:7","{""__typename"":""Reserve"",""decimals"":6,""symbol"":""USDC""}",1647810331,"0x1ca7e9cd39729cbf1f8652adf0b5e475e1ea6882674ae3592d90f95b4ba0770a","{""__typename"":""User"",""id"":""0x0a71e650f70b35fca8b70e71e4441df8d44e01e9""}"
"Repay","Repay","250000000","0.9995914","8221967:0:0x1cbc58f0380d289f139bfd06104138d5e58349073a1d956ff348ce339f6965a6:7:7","{""__typename"":""Reserve"",""decimals"":6,""symbol"":""USDC""}",1647811522,"0x1cbc58f0380d289f139bfd06104138d5e58349073a1d956ff348ce339f6965a6","{""__typename"":""User"",""id"":""0xddb8064b30cb2069b89ab1d49acc7bd118b28acd""}"
"Repay","Repay","474869325","0.9995914","8222039:0:0x804b91fd6aea098ad1558e88690d2a1249219fa4820770ac10bb245b528b01a4:7:7","{""__typename"":""Reserve"",""decimals"":6,""symbol"":""USDC""}",1647811711,"0x804b91fd6aea098ad1558e88690d2a1249219fa4820770ac10bb245b528b01a4","{""__typename"":""User"",""id"":""0xddb8064b30cb2069b89ab1d49acc7bd118b28acd""}"
"Repay","Repay","484866559","0.9995914","8222109:0:0x8077324220304f7bc140498f71bb52d5b98406a67fe19916cb37b525928e80a2:7:7","{""__typename"":""Reserve"",""decimals"":6,""symbol"":""USDC""}",1647811814,"0x8077324220304f7bc140498f71bb52d5b98406a67fe19916cb37b525928e80a2","{""__typename"":""User"",""id"":""0xddb8064b30cb2069b89ab1d49acc7bd118b28acd""}"
"Repay","Repay","499861746","0.9995914","8222365:0:0xea3b779f230efba055f0d28a2a1af314cdacdc3dd9e0b81f4b748e880c07699f:7:7","{""__typename"":""Reserve"",""decimals"":6,""symbol"":""USDC""}",1647812064,"0xea3b779f230efba055f0d28a2a1af314cdacdc3dd9e0b81f4b748e880c07699f","{""__typename"":""User"",""id"":""0xddb8064b30cb2069b89ab1d49acc7bd118b28acd""}"
"Repay","Repay","514857581","0.9995914","8222441:0:0xc8a19d590fae9d6b320e41fda7bca872e377e281b1f5e50e344c4f4723c469c7:7:7","{""__typename"":""Reserve"",""decimals"":6,""symbol"":""USDC""}",1647812184,"0xc8a19d590fae9d6b320e41fda7bca872e377e281b1f5e50e344c4f4723c469c7","{""__typename"":""User"",""id"":""0xddb8064b30cb2069b89ab1d49acc7bd118b28acd""}"
