"__typename","action","amount","assetPriceUSD","borrowRate","borrowRateMode","id","reserve","stableTokenDebt","timestamp","txHash","user","variableTokenDebt"
"Borrow","Borrow","10000000000","0.99998202","2190300730971100616871311",2,"8018327:0:0xd2f04ce1157a45b7ed8f627589936e484d64c34e8691b8a7a0aa0b80736f47c5:4:4","{""__typename"":""Reserve"",""decimals"":6,""symbol"":""USDC""}","0",1647469538,"0xd2f04ce1157a45b7ed8f627589936e484d64c34e8691b8a7a0aa0b80736f47c5","{""__typename"":""User"",""id"":""0x2b303ea0fe315404594240c0a107f1c42202a122""}","9999993697"
"Borrow","Borrow","400000000","0.99998202","2192067627818990910567452",2,"8019912:0:0x4c10134427acc1c5b65e3d27ec4bf1eaff07048df80929a0496df4a6b54a1a9f:5:5","{""__typename"":""Reserve"",""decimals"":6,""symbol"":""USDC""}","0",1647471948,"0x4c10134427acc1c5b65e3d27ec4bf1eaff07048df80929a0496df4a6b54a1a9f","{""__typename"":""User"",""id"":""0xddb8064b30cb2069b89ab1d49acc7bd118b28acd""}","9809995208"
"Borrow","Borrow","305000000","0.99998202","2195237717228914176353680",2,"8020071:0:0xa5a6a6d04f0cab23918c1adcb0a6c3539bfc6798aff356b2553bfc7c1885e49b:5:5","{""__typename"":""Reserve"",""decimals"":6,""symbol"":""USDC""}","0",1647472180,"0xa5a6a6d04f0cab23918c1adcb0a6c3539bfc6798aff356b2553bfc7c1885e49b","{""__typename"":""User"",""id"":""0xddb8064b30cb2069b89ab1d49acc7bd118b28acd""}","10114994960"
"Borrow","Borrow","250000000","0.99998202","2197836144236897096024134",2,"8020212:0:0x7d77156a060b3dd71f942a362c0805034ec2af7afacb92ba83990bb0de6d66e5:5:5","{""__typename"":""Reserve"",""decimals"":6,""symbol"":""USDC""}","0",1647472322,"0x7d77156a060b3dd71f942a362c0805034ec2af7afacb92ba83990bb0de6d66e5","{""__typename"":""User"",""id"":""0xddb8064b30cb2069b89ab1d49acc7bd118b28acd""}","10364994754"
"Borrow","Borrow","3500000000","0.99998202","2234211473175971004332114",2,"8021225:0:0x177c828b3f97c56004802cc714411ff9cfb912a7bedc860d8be02834d84e59c7:4:4","{""__typename"":""Reserve"",""decimals"":6,""symbol"":""USDC""}","0",1647474076,"0x177c828b3f97c56004802cc714411ff9cfb912a7bedc860d8be02834d84e59c7","{""__typename"":""User"",""id"":""0xd4be2d9ce1fa5d625e68f899d6283ee397fbd10a""}","3499996689"
"Borrow","Borrow","512000000","0.99998202","2239533185374473515368387",2,"8021834:0:0x528a3f753e6effa62ab632ee7f8d4cebcb1b41e745f9168ead459ac23bc6ddef:4:4","{""__typename"":""Reserve"",""decimals"":6,""symbol"":""USDC""}","0",1647475288,"0x528a3f753e6effa62ab632ee7f8d4cebcb1b41e745f9168ead459ac23bc6ddef","{""__typename"":""User"",""id"":""0x46bb88d8d0b6ba9e273a5364f70fa84ccb10c11b""}","511999472"
"Borrow","Borrow","4000000000","0.99998202","2281105271011847563414334",2,"8023076:0:0x4110e7163bd93e2845da8afcf2718d294a8d6954075d58a7e41f532b42cf8929:4:4","{""__typename"":""Reserve"",""decimals"":6,""symbol"":""USDC""}","0",1647477275,"0x4110e7163bd93e2845da8afcf2718d294a8d6954075d58a7e41f532b42cf8929","{""__typename"":""User"",""id"":""0x83302723edf15abc86511d59fb050cc6806f4992""}","3999995308"
"Borrow","Borrow","2425000000","0.99998202","2306309813163701580555420",2,"8023332:0:0x364e71431bbd620698c3d416d9f79fbcf8553c1abc9779737689d9a264022e2e:4:4","{""__typename"":""Reserve"",""decimals"":6,""symbol"":""USDC""}","0",1647477656,"0x364e71431bbd620698c3d416d9f79fbcf8553c1abc9779737689d9a264022e2e","{""__typename"":""User"",""id"":""0x83302723edf15abc86511d59fb050cc6806f4992""}","6424992397"
"Borrow","Borrow","1677511043562850607173","0.99981495","758299603919826358939396641",2,"8023505:0:0x541fe59b0c8cb51d1140418a34b1aee791db502362fca2c197bf2038242080bc:4:4","{""__typename"":""Reserve"",""decimals"":18,""symbol"":""DAI""}","0",1647478026,"0x541fe59b0c8cb51d1140418a34b1aee791db502362fca2c197bf2038242080bc","{""__typename"":""User"",""id"":""0x83302723edf15abc86511d59fb050cc6806f4992""}","1677502237999471391528"
"Borrow","Borrow","6000000000","0.99998202","2368671487547665480177583",2,"8023577:0:0xfb4033ae31fdf3cea420fe32a86eefdfb0c27961622a2a5780924406239ab92b:4:4","{""__typename"":""Reserve"",""decimals"":6,""symbol"":""USDC""}","0",1647478083,"0xfb4033ae31fdf3cea420fe32a86eefdfb0c27961622a2a5780924406239ab92b","{""__typename"":""User"",""id"":""0x83302723edf15abc86511d59fb050cc6806f4992""}","12424985007"
"Borrow","Borrow","8000000","0.99998202","61184280300648638432787974",1,"8027879:0:0x437a24120e37f30b5f673a6db4ba4df630ce062ea28b6ef6be0c869492f7b6dc:4:4","{""__typename"":""Reserve"",""decimals"":6,""symbol"":""USDC""}","8000000",1647484834,"0x437a24120e37f30b5f673a6db4ba4df630ce062ea28b6ef6be0c869492f7b6dc","{""__typename"":""User"",""id"":""0x90f3b5e0f5baaa6d22bffd5e80928f23c900a557""}","0"
"Borrow","Borrow","30000000000","0.99998202","2680374739405322189232591",2,"8028836:0:0x2eb426cd41d2b66b82f31b4690f7019d5b7d5fb7100eb2b79c378611c00d8325:4:4","{""__typename"":""Reserve"",""decimals"":6,""symbol"":""USDC""}","0",1647486233,"0x2eb426cd41d2b66b82f31b4690f7019d5b7d5fb7100eb2b79c378611c00d8325","{""__typename"":""User"",""id"":""0xfba206e73709f614e5a85aff27a98692d4f3c579""}","29999944686"
